100 4950
1 2 49
1 3 33
1 4 36
1 5 44
1 6 47
1 7 42
1 8 15
1 9 29
1 10 55
1 11 49
1 12 48
1 13 23
1 14 41
1 15 14
1 16 29
1 17 53
1 18 11
1 19 12
1 20 26
1 21 41
1 22 47
1 23 22
1 24 20
1 25 21
1 26 23
1 27 34
1 28 28
1 29 40
1 30 54
1 31 36
1 32 31
1 33 55
1 34 49
1 35 43
1 36 14
1 37 47
1 38 25
1 39 46
1 40 12
1 41 47
1 42 43
1 43 37
1 44 31
1 45 35
1 46 25
1 47 21
1 48 14
1 49 14
1 50 33
1 51 14
1 52 50
1 53 49
1 54 9
1 55 15
1 56 36
1 57 8
1 58 50
1 59 37
1 60 54
1 61 54
1 62 43
1 63 34
1 64 12
1 65 9
1 66 28
1 67 53
1 68 40
1 69 50
1 70 18
1 71 49
1 72 12
1 73 9
1 74 17
1 75 31
1 76 22
1 77 35
1 78 44
1 79 8
1 80 43
1 81 37
1 82 50
1 83 48
1 84 9
1 85 43
1 86 43
1 87 19
1 88 19
1 89 43
1 90 13
1 91 12
1 92 40
1 93 45
1 94 46
1 95 55
1 96 38
1 97 30
1 98 50
1 99 37
1 100 31
2 3 12
2 4 12
2 5 18
2 6 50
2 7 7
2 8 45
2 9 14
2 10 12
2 11 14
2 12 7
2 13 44
2 14 53
2 15 24
2 16 34
2 17 46
2 18 22
2 19 38
2 20 34
2 21 49
2 22 32
2 23 30
2 24 23
2 25 16
2 26 15
2 27 42
2 28 35
2 29 18
2 30 43
2 31 18
2 32 55
2 33 56
2 34 43
2 35 51
2 36 44
2 37 16
2 38 16
2 39 9
2 40 30
2 41 10
2 42 17
2 43 37
2 44 16
2 45 19
2 46 17
2 47 23
2 48 15
2 49 31
2 50 36
2 51 23
2 52 17
2 53 40
2 54 28
2 55 55
2 56 36
2 57 50
2 58 29
2 59 51
2 60 18
2 61 49
2 62 12
2 63 51
2 64 39
2 65 44
2 66 43
2 67 48
2 68 48
2 69 16
2 70 9
2 71 27
2 72 38
2 73 55
2 74 20
2 75 19
2 76 12
2 77 22
2 78 39
2 79 40
2 80 15
2 81 27
2 82 50
2 83 18
2 84 44
2 85 31
2 86 50
2 87 44
2 88 45
2 89 12
2 90 40
2 91 41
2 92 32
2 93 56
2 94 9
2 95 18
2 96 7
2 97 15
2 98 36
2 99 26
2 100 25
3 4 23
3 5 50
3 6 55
3 7 37
3 8 44
3 9 35
3 10 12
3 11 17
3 12 49
3 13 56
3 14 47
3 15 15
3 16 10
3 17 9
3 18 20
3 19 32
3 20 12
3 21 32
3 22 35
3 23 9
3 24 38
3 25 30
3 26 54
3 27 15
3 28 18
3 29 52
3 30 53
3 31 17
3 32 42
3 33 51
3 34 39
3 35 8
3 36 46
3 37 37
3 38 31
3 39 39
3 40 41
3 41 50
3 42 56
3 43 18
3 44 32
3 45 16
3 46 40
3 47 27
3 48 47
3 49 47
3 50 22
3 51 45
3 52 29
3 53 49
3 54 48
3 55 15
3 56 20
3 57 22
3 58 53
3 59 19
3 60 52
3 61 18
3 62 16
3 63 24
3 64 31
3 65 9
3 66 18
3 67 13
3 68 50
3 69 37
3 70 15
3 71 44
3 72 11
3 73 20
3 74 11
3 75 49
3 76 20
3 77 10
3 78 12
3 79 51
3 80 52
3 81 51
3 82 8
3 83 33
3 84 12
3 85 34
3 86 11
3 87 52
3 88 15
3 89 28
3 90 53
3 91 14
3 92 28
3 93 24
3 94 17
3 95 52
3 96 44
3 97 19
3 98 39
3 99 52
3 100 49
4 5 46
4 6 21
4 7 47
4 8 42
4 9 32
4 10 19
4 11 30
4 12 19
4 13 34
4 14 18
4 15 49
4 16 30
4 17 54
4 18 28
4 19 42
4 20 13
4 21 42
4 22 46
4 23 42
4 24 21
4 25 52
4 26 18
4 27 16
4 28 16
4 29 46
4 30 55
4 31 38
4 32 8
4 33 18
4 34 23
4 35 23
4 36 29
4 37 49
4 38 53
4 39 9
4 40 20
4 41 7
4 42 34
4 43 9
4 44 53
4 45 21
4 46 39
4 47 49
4 48 55
4 49 45
4 50 9
4 51 36
4 52 52
4 53 36
4 54 7
4 55 38
4 56 52
4 57 39
4 58 7
4 59 9
4 60 11
4 61 15
4 62 27
4 63 32
4 64 9
4 65 32
4 66 51
4 67 56
4 68 30
4 69 54
4 70 23
4 71 28
4 72 40
4 73 12
4 74 52
4 75 38
4 76 32
4 77 52
4 78 53
4 79 45
4 80 35
4 81 19
4 82 38
4 83 7
4 84 35
4 85 37
4 86 55
4 87 24
4 88 45
4 89 41
4 90 25
4 91 41
4 92 25
4 93 51
4 94 23
4 95 55
4 96 49
4 97 8
4 98 49
4 99 41
4 100 41
5 6 10
5 7 29
5 8 43
5 9 30
5 10 53
5 11 47
5 12 48
5 13 19
5 14 26
5 15 48
5 16 29
5 17 33
5 18 13
5 19 16
5 20 51
5 21 56
5 22 56
5 23 17
5 24 36
5 25 38
5 26 49
5 27 32
5 28 28
5 29 38
5 30 53
5 31 16
5 32 23
5 33 17
5 34 52
5 35 41
5 36 26
5 37 11
5 38 42
5 39 8
5 40 32
5 41 55
5 42 56
5 43 9
5 44 34
5 45 47
5 46 18
5 47 41
5 48 45
5 49 17
5 50 20
5 51 49
5 52 11
5 53 29
5 54 13
5 55 28
5 56 22
5 57 56
5 58 14
5 59 8
5 60 33
5 61 52
5 62 25
